month,hour,Price
1,0,0.04371225806451613
1,1,0.03895
1,2,0.03608677419354839
1,3,0.034500967741935486
1,4,0.03710387096774194
1,5,0.04259774193548387
1,6,0.05069064516129032
1,7,0.06058516129032258
1,8,0.06475451612903226
1,9,0.06683806451612903
1,10,0.0654683870967742
1,11,0.0651683870967742
1,12,0.06353516129032258
1,13,0.06179548387096774
1,14,0.06111322580645161
1,15,0.062227741935483874
1,16,0.06768774193548388
1,17,0.07366354838709678
1,18,0.07223290322580646
1,19,0.06783096774193548
1,20,0.06220096774193548
1,21,0.05551193548387097
1,22,0.052884516129032264
1,23,0.04641774193548387
2,0,0.04025321428571428
2,1,0.037021785714285715
2,2,0.03401571428571428
2,3,0.03305285714285715
2,4,0.03514
2,5,0.039420000000000004
2,6,0.04832285714285715
2,7,0.05743571428571429
2,8,0.06103464285714285
2,9,0.060898214285714285
2,10,0.05793107142857142
2,11,0.05600357142857143
2,12,0.05330714285714285
2,13,0.05117785714285714
2,14,0.05038178571428571
2,15,0.05227571428571428
2,16,0.05615
2,17,0.06502821428571429
2,18,0.06931107142857143
2,19,0.06483392857142857
2,20,0.057895714285714286
2,21,0.05038642857142857
2,22,0.04736714285714285
2,23,0.04185714285714286
3,0,0.049156451612903225
3,1,0.04667677419354838
3,2,0.04524966666666667
3,3,0.04410032258064516
3,4,0.044804838709677414
3,5,0.04961064516129032
3,6,0.05614806451612903
3,7,0.06311129032258064
3,8,0.06292645161290322
3,9,0.05848451612903226
3,10,0.053951935483870964
3,11,0.052365161290322586
3,12,0.051032580645161287
3,13,0.04919612903225806
3,14,0.04881451612903226
3,15,0.05048129032258065
3,16,0.05393387096774194
3,17,0.06004677419354839
3,18,0.07332999999999999
3,19,0.07614096774193549
3,20,0.06607903225806451
3,21,0.058426129032258065
3,22,0.05579096774193548
3,23,0.05073709677419355
4,0,0.057257666666666665
4,1,0.05327933333333333
4,2,0.05151466666666667
4,3,0.05074266666666667
4,4,0.05227433333333333
4,5,0.055918333333333334
4,6,0.06469966666666667
4,7,0.07640766666666667
4,8,0.07889733333333333
4,9,0.070942
4,10,0.063956
4,11,0.061752
4,12,0.059776333333333334
